Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Warsita Habibi,7C,2024/2025,222,Sangat Baik,93.3,Tinggi,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Titin Novitasari,7C,2025/2026,188,Kurang,72.6,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Harjaya Natsir,7A,2025/2026,193,Kurang,66.5,Rendah,3,Sedang/Berat,PNS/TNI/Polri,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Iriana Saptono,8B,2025/2026,207,Baik,79.8,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Padmi Santoso,8C,2025/2026,190,Kurang,69.5,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Vinsen Safitri,8A,2025/2026,211,Baik,91.9,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hamima Marbun,8B,2023/2024,206,Baik,88.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Rendah
Tedi Lestari,7B,2023/2024,214,Baik,91.8,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Calista Pradana,7B,2025/2026,234,Sangat Baik,81.9,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Pranata Handayani,7B,2025/2026,220,Sangat Baik,85.9,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Karya Astuti,8A,2023/2024,186,Kurang,92.4,Tinggi,2,Ringan,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
